251	166	48
147	59	47
138	56	51
251	224	82
215	80	17
167	65	38
51	29	89
90	41	72
251	154	40
157	62	43
245	102	12
247	116	19
250	137	31
247	118	21
251	216	77
61	32	85
251	212	75
205	77	21
176	68	34
99	44	68
249	135	30
250	140	33
80	38	77
249	132	28
128	53	55
251	220	80
251	158	43
186	71	30
251	146	36
42	26	94
246	108	15
251	150	38
251	191	62
248	121	22
251	187	60
195	74	26
70	35	81
247	113	18
118	50	60
250	143	34
251	162	45
244	89	5
246	110	16
109	47	64
251	229	85
251	179	55
245	97	9
249	129	27
251	199	67
244	91	6
248	127	25
251	170	50
251	195	65
248	124	24
224	83	13
251	183	58
251	204	70
234	86	9
244	94	7
251	175	53
245	99	10
246	105	13
251	208	72
